participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9620683,2026-08-27T18:51:08.962068+00:00,0.7123439311981201,548395.734,63,838990792767,1,1,0.05013977736234665,-0.04484676197171211,-0.03787411376833916,-0.062352243810892105,-0.17190372943878174,0.9831386208534241,1,0.05002661421895027,-0.014368807896971703,-0.03719881922006607,-0.06269023567438126,-0.23419426381587982,0.9701665043830872,1,0.050272904336452484,-0.08307350426912308,-0.03873741254210472,-0.06203245371580124,-0.09273573756217957,0.9937565922737122
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.979445,2026-08-27T18:51:08.979445+00:00,0.7297205924987793,548395.75,64,838990903879,1,1,0.05013743042945862,-0.04459182545542717,-0.03786686062812805,-0.062327876687049866,-0.17271028459072113,0.9829987287521362,1,0.05002991110086441,-0.014378340914845467,-0.037186190485954285,-0.06265944242477417,-0.2344001680612564,0.9701186418533325,1,0.05026969313621521,-0.08307771384716034,-0.03874174505472183,-0.06216404214501381,-0.09207175672054291,0.9938100576400757
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.979445,2026-08-27T18:51:08.979445+00:00,0.7297205924987793,548395.75,65,838991014991,1,1,0.050136543810367584,-0.04468272998929024,-0.03786852955818176,-0.06222260743379593,-0.17116262018680573,0.9832761287689209,1,0.05002806708216667,-0.014375151135027409,-0.03718894347548485,-0.06248411536216736,-0.23497836291790009,0.969990074634552,1,0.05027231574058533,-0.08306872099637985,-0.038729678839445114,-0.06182143837213516,-0.09184791147708893,0.9938521981239319
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9980235,2026-08-27T18:51:08.998024+00:00,0.7482991218566895,548395.765,66,838991126104,1,1,0.05013599246740341,-0.04469619691371918,-0.03786883130669594,-0.06196378543972969,-0.170677050948143,0.9833768010139465,1,0.050027161836624146,-0.014364161528646946,-0.03719611093401909,-0.06196017935872078,-0.23413215577602386,0.970228374004364,1,0.05027680844068527,-0.08305198699235916,-0.038715433329343796,-0.061213765293359756,-0.09035312384366989,0.9940267205238342
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9980235,2026-08-27T18:51:08.998024+00:00,0.7482991218566895,548395.765,67,838991237218,1,1,0.05013555660843849,-0.04459720849990845,-0.037866316735744476,-0.06197685748338699,-0.1716069132089615,0.9832140803337097,1,0.05003131181001663,-0.014368691481649876,-0.03718750923871994,-0.062383417040109634,-0.23361077904701233,0.970326840877533,1,0.050273578613996506,-0.0830564945936203,-0.038721054792404175,-0.06183941289782524,-0.08996440470218658,0.994023323059082
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856669.0180252,2026-08-27T18:51:09.018025+00:00,0.7683007717132568,548395.781,68,838991348330,1,1,0.05013537034392357,-0.04449738189578056,-0.037863001227378845,-0.06212860345840454,-0.17036820948123932,0.9834199547767639,1,0.050031937658786774,-0.014372415840625763,-0.03718012198805809,-0.06285153329372406,-0.23403017222881317,0.9701956510543823,1,0.05027720704674721,-0.083045594394207,-0.03871187940239906,-0.06216449663043022,-0.08875113725662231,0.9941121339797974
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856669.0382583,2026-08-27T18:51:09.038258+00:00,0.7885339260101318,548395.812,69,838991459445,1,1,0.0501357801258564,-0.0444195531308651,-0.03786088526248932,-0.06237764656543732,-0.17106778919696808,0.9832828640937805,1,0.05003181844949722,-0.014362143352627754,-0.037190381437540054,-0.06331444531679153,-0.23449863493442535,0.9700524210929871,1,0.050283677875995636,-0.08305519819259644,-0.03871268033981323,-0.06246127933263779,-0.0913209468126297,0.9938607215881348
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856669.0382583,2026-08-27T18:51:09.038258+00:00,0.7885339260101318,548395.812,70,838991570557,1,1,0.050137002021074295,-0.04449431598186493,-0.037862349301576614,-0.06307925283908844,-0.17055413126945496,0.9833272695541382,1,0.050031401216983795,-0.0143606998026371,-0.03718936815857887,-0.06476587057113647,-0.23355597257614136,0.9701840281486511,1,0.050280649214982986,-0.08305668085813522,-0.03871640935540199,-0.06405378878116608,-0.0907956138253212,0.9938075542449951
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856669.0547082,2026-08-27T18:51:09.054708+00:00,0.8049838542938232,548395.828,71,838991681671,1,1,0.0501372367143631,-0.04435109719634056,-0.037859633564949036,-0.06326963752508163,-0.17056554555892944,0.9833130836486816,1,0.050034768879413605,-0.014347676187753677,-0.03720327466726303,-0.06388194859027863,-0.23248188197612762,0.9705005288124084,1,0.05028275400400162,-0.08306179940700531,-0.03871863707900047,-0.06328297406435013,-0.0916476845741272,0.993778645992279
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856669.0547082,2026-08-27T18:51:09.054708+00:00,0.8049838542938232,548395.828,72,838991792784,1,1,0.05013727396726608,-0.044336363673210144,-0.03785911947488785,-0.06420284509658813,-0.16937671601772308,0.9834579825401306,1,0.05002553388476372,-0.014360237866640091,-0.03719071298837662,-0.0661231279373169,-0.23365554213523865,0.9700683951377869,1,0.050270918756723404,-0.08306527137756348,-0.03871861472725868,-0.06563930213451385,-0.09185130149126053,0.9936069250106812
