timestamp_utc_ns,monotonic_ns,trial_id,request_id,action,modality,source_detail
1787856910841801300,548637609000000,P001_S01_ST1ST_T01_R02,3b2981fd-7102-4b81-a29e-b74035dabf71,3,Keyboard,keyboard
1787856911545602000,548638312000000,P001_S01_ST1ST_T01_R02,512fe80e-546e-4edc-b3e5-0f9605f1e91a,3,Keyboard,keyboard
1787856912087432800,548638859000000,P001_S01_ST1ST_T01_R02,16b4237d-03c7-41fa-9376-3d33add180a9,3,Keyboard,keyboard
1787856912921929300,548639687000000,P001_S01_ST1ST_T01_R02,0b6f511a-add7-479b-877b-d2db09aedde3,5,Keyboard,keyboard
1787856913435617400,548640203000000,P001_S01_ST1ST_T01_R02,3d56053c-6475-4d9b-8d10-d6ed4dab56ca,3,Keyboard,keyboard
1787856914685117600,548641453000000,P001_S01_ST1ST_T01_R02,073aeeaa-5b14-4926-b1f2-08ed16dca56b,2,Keyboard,keyboard
1787856915813826200,548642578000000,P001_S01_ST1ST_T01_R02,5d3eb1b2-0930-4603-9605-5e0ae2ba7f80,1,Keyboard,keyboard
1787856916494550000,548643265000000,P001_S01_ST1ST_T01_R02,e9762aa5-8419-4411-a175-595d42990371,1,Keyboard,keyboard
1787856917001163200,548643765000000,P001_S01_ST1ST_T01_R02,6a85723b-5232-40c5-856d-838190243652,3,Keyboard,keyboard
1787856917719959100,548644484000000,P001_S01_ST1ST_T01_R02,6be1ab93-9505-4ca9-b25a-66836afa7208,5,Keyboard,keyboard
1787856918259852600,548645031000000,P001_S01_ST1ST_T01_R02,e6814d57-99c8-4c7a-a4b7-f9ef113f7099,5,Keyboard,keyboard
1787856919047232400,548645812000000,P001_S01_ST1ST_T01_R02,339cca60-d62c-4fc9-a1f9-0e55f579c436,5,Keyboard,keyboard
1787856919903619900,548646671000000,P001_S01_ST1ST_T01_R02,5a317449-dd54-449a-a355-8156de87a0f3,3,Keyboard,keyboard
1787856921953417200,548648718000000,P001_S01_ST1ST_T01_R02,2ee33806-5127-4e04-a6d4-cf8d2d9206a9,0,Keyboard,keyboard
1787856922471506400,548649234000000,P001_S01_ST1ST_T01_R02,857738b2-3cc3-419a-ad9f-60f4dc5baa99,0,Keyboard,keyboard
1787856923284592800,548650046000000,P001_S01_ST1ST_T01_R02,2635bf11-88ee-4c8d-b65c-48ca54f46c38,3,Keyboard,keyboard
1787856924003696200,548650765000000,P001_S01_ST1ST_T01_R02,cdc08fa1-83b8-400a-900b-b6263ff16618,0,Keyboard,keyboard
1787856924427228600,548651203000000,P001_S01_ST1ST_T01_R02,e1fbfe00-ea7f-49d8-b659-5588a3305cba,3,Keyboard,keyboard
1787856924944322800,548651718000000,P001_S01_ST1ST_T01_R02,e2cf6e02-6ba5-4b73-b044-e17548a15453,5,Keyboard,keyboard
1787856925553950600,548652328000000,P001_S01_ST1ST_T01_R02,0f9f5049-fc65-4a89-b358-d1716c07da8b,5,Keyboard,keyboard
1787856926008535100,548652781000000,P001_S01_ST1ST_T01_R02,31a65069-1ef9-4d31-84cd-a0867b7ade56,5,Keyboard,keyboard
1787856926928809700,548653703000000,P001_S01_ST1ST_T01_R02,a2895a61-0cb5-4510-aed0-2d1bce443c09,3,Keyboard,keyboard
1787856927370984300,548654140000000,P001_S01_ST1ST_T01_R02,2ea7ba6b-0b0b-432a-bd22-41de8e4a7789,3,Keyboard,keyboard
